Complaint,CodedMonth,Crime,District,XCoord,YCoord,Day,Time
18-000348,2018-01,5,2,879519.5,1018188.0,02,1
18-000284,2018-01,7,6,892747.9,1038788.0,02,1
18-000196,2018-01,6,1,885747.1,1003901.0,02,1
18-000910,2018-01,6,4,908335.3,1017522.0,02,1
18-003723,2018-01,6,1,891345.1,993008.8,02,1
18-000261,2018-01,6,3,893788.8,1005469.0,02,1
18-001738,2018-01,6,4,898984.1,1027309.0,02,2
18-000246,2018-01,6,6,898802.6,1036778.0,02,2
18-000258,2018-01,9,1,889468.0,994413.8,02,2
18-000265,2018-01,4,1,892682.8,1001317.0,02,2
18-000432,2018-01,6,5,890245.9,1021299.0,02,2
18-000280,2018-01,7,5,891111.3,1029046.0,02,2
18-000275,2018-01,7,5,882339.4,1025569.0,02,2
18-000272,2018-01,7,4,897953.7,1024099.0,02,2
18-000665,2018-01,6,6,888954.6,1046904.0,02,2
18-000274,2018-01,5,1,896586.4,999866.4,02,2
18-000282,2018-01,5,5,885431.6,1032229.0,02,2
18-000453,2018-01,6,1,891237.9,996028.7,02,2
18-000324,2018-01,6,5,882339.4,1025569.0,02,2
18-000323,2018-01,5,6,891422.3,1041200.0,02,2
18-000304,2018-01,6,2,874686.6,1013295.0,02,2
18-000291,2018-01,6,3,899523.6,1009803.0,02,2
18-000355,2018-01,6,3,894661.9,1003509.0,02,2
18-000325,2018-01,6,1,891004.1,995966.5,02,2
18-000457,2018-01,5,1,891333.2,998388.1,02,2
18-000314,2018-01,3,5,888737.2,1029663.0,02,2
18-000388,2018-01,6,1,889930.4,988773.2,02,2
18-000315,2018-01,7,2,875914.1,1019455.0,02,2
18-001146,2018-01,6,5,881482.7,1032564.0,02,2
18-001144,2018-01,6,5,881482.7,1032564.0,02,2
18-003573,2018-01,7,1,889831.3,993186.7,02,3
18-000326,2018-01,7,5,884276.6,1032771.0,02,3
18-000349,2018-01,6,4,903317.6,1018382.0,02,3
18-000335,2018-01,3,1,893648.9,996970.0,02,3
18-000401,2018-01,5,6,891495.4,1050624.0,02,3
18-000375,2018-01,7,4,907483.0,1018737.0,02,3
18-000338,2018-01,4,1,891300.7,992096.7,02,3
18-000339,2018-01,4,6,892074.8,1035166.0,02,3
18-000344,2018-01,4,4,904103.5,1016835.0,02,3
18-000353,2018-01,4,6,887588.3,1044019.0,02,3
18-000405,2018-01,6,1,891104.8,996117.9,02,3
18-000644,2018-01,6,5,892342.3,1023627.0,02,3
18-000350,2018-01,6,1,885431.4,999336.9,02,3
18-001087,2018-01,6,4,902363.3,1018827.0,02,3
18-000448,2018-01,7,6,895590.1,1051623.0,02,3
18-000378,2018-01,6,1,890603.0,993391.5,02,3
18-000354,2018-01,5,3,896677.8,1007608.0,02,3
18-000360,2018-01,5,2,890167.1,1003784.0,03,3
18-000368,2018-01,7,5,887846.4,1034783.0,03,3
18-000492,2018-01,5,5,889270.0,1035913.0,03,3
18-000380,2018-01,4,3,904285.0,1014042.0,03,3
18-000424,2018-01,6,1,892908.1,992497.6,03,3
18-000365,2018-01,6,5,887396.8,1020150.0,03,3
18-000468,2018-01,6,4,897527.6,1018368.0,03,3
18-000363,2018-01,6,2,878828.2,994423.4,03,3
18-000396,2018-01,6,1,888283.9,986560.8,03,3
18-000761,2018-01,6,1,891114.6,990097.6,03,3
18-000367,2018-01,5,1,887060.6,1001461.0,03,3
18-000373,2018-01,7,3,905000.3,1009683.0,03,1
18-000371,2018-01,6,2,872966.3,1003963.0,03,1
18-000374,2018-01,9,3,897369.2,1001753.0,03,1
18-000577,2018-01,6,2,876554.9,1023488.0,03,1
18-000416,2018-01,6,6,898564.8,1045187.0,03,1
18-000486,2018-01,6,1,887660.8,988161.2,03,1
18-000412,2018-01,6,3,899961.6,1011268.0,03,1
18-000747,2018-01,6,5,881142.9,1032976.0,03,1
18-003478,2018-01,6,2,890332.9,1008207.0,03,1
18-002310,2018-01,5,6,895320.7,1036686.0,03,1
18-000455,2018-01,6,6,895684.7,1035866.0,03,1
18-000423,2018-01,4,3,895082.2,1015537.0,03,1
18-000434,2018-01,9,5,894039.4,1030127.0,03,1
18-000436,2018-01,7,2,895223.9,1016795.0,03,1
18-000522,2018-01,5,1,886435.4,990590.8,03,1
18-000470,2018-01,6,1,883551.7,995055.4,03,1
18-000435,2018-01,4,3,899956.8,1014976.0,03,1
18-000462,2018-01,6,4,898913.9,1020445.0,03,1
18-001823,2018-01,7,2,878924.4,1010358.0,03,2
18-000456,2018-01,6,4,904766.9,1029209.0,03,2
18-000440,2018-01,3,4,906468.6,1029947.0,03,2
18-000441,2018-01,6,1,889849.0,1003566.0,03,2
18-000466,2018-01,6,3,901471.4,1003031.0,03,2
18-000446,2018-01,6,6,891316.0,1035410.0,03,2
18-000493,2018-01,5,6,896079.8,1034628.0,03,2
18-000459,2018-01,6,1,896925.8,998634.1,03,2
18-000463,2018-01,9,4,906832.4,1027318.0,03,2
18-000461,2018-01,6,3,907074.3,1010678.0,03,2
18-000496,2018-01,5,5,887126.9,1034258.0,03,2
18-000475,2018-01,6,1,887585.4,988510.2,03,2
18-000490,2018-01,4,6,896186.4,1051112.0,03,2
18-000499,2018-01,6,5,888036.9,1026405.0,03,2
18-000480,2018-01,6,5,888006.9,1020596.0,03,2
18-000641,2018-01,6,3,903761.4,1007964.0,03,2
18-000487,2018-01,6,5,891789.6,1019840.0,03,2
18-003443,2018-01,6,5,894182.1,1024708.0,03,2
18-000565,2018-01,6,2,878215.9,997287.0,03,2
18-000501,2018-01,3,1,884082.3,1001677.0,03,2
18-000556,2018-01,5,3,897763.4,1009124.0,03,2
18-000607,2018-01,7,5,895460.3,1024788.0,03,2
18-000511,2018-01,6,5,890261.6,1022090.0,03,2
18-000497,2018-01,4,3,899931.6,1010202.0,03,2
18-000503,2018-01,6,5,892104.8,1022153.0,03,2
18-000500,2018-01,7,3,897333.9,1005546.0,03,2
18-000518,2018-01,7,3,895419.3,1001896.0,03,3
18-000576,2018-01,6,5,891061.4,1022825.0,03,3
18-000545,2018-01,6,3,900451.2,1012847.0,03,3
18-002053,2018-01,6,2,890650.8,1013403.0,03,3
18-001325,2018-01,5,5,887908.2,1032461.0,03,3
18-000777,2018-01,5,3,894801.3,1003132.0,03,3
18-000594,2018-01,6,5,877125.9,1025422.0,03,3
18-002034,2018-01,6,5,888276.1,1025013.0,03,3
18-000527,2018-01,4,6,893198.9,1044118.0,03,3
18-000537,2018-01,7,4,897377.6,1027033.0,03,3
18-000557,2018-01,6,2,889451.3,1014521.0,03,3
18-000564,2018-01,7,2,887049.9,1009054.0,03,3
18-000531,2018-01,7,4,896713.7,1021365.0,03,3
18-000538,2018-01,7,3,903863.3,1010118.0,03,3
18-000597,2018-01,6,2,892019.1,1014552.0,03,3
18-000580,2018-01,6,5,891266.9,1022530.0,03,3
18-000634,2018-01,7,6,894581.8,1049171.0,03,3
18-000547,2018-01,7,1,890225.1,986181.0,03,3
18-000542,2018-01,4,4,906389.8,1018559.0,03,3
18-000544,2018-01,4,2,889775.5,1016581.0,03,3
18-000566,2018-01,6,3,896883.9,1014347.0,04,3
18-000628,2018-01,6,5,891061.4,1022825.0,04,3
18-000549,2018-01,7,1,886093.3,990152.9,04,3
18-000551,2018-01,5,6,901776.6,1031336.0,04,3
18-000553,2018-01,6,3,904545.4,1013015.0,04,3
18-000931,2018-01,6,6,894815.0,1041723.0,04,3
18-000572,2018-01,6,2,890843.7,1014684.0,04,3
18-000570,2018-01,5,1,890830.1,989988.6,04,3
18-000648,2018-01,6,2,876192.6,1019146.0,04,3
18-000660,2018-01,6,2,880816.9,1013077.0,04,1
18-000573,2018-01,7,4,906432.9,1029817.0,04,1
18-000674,2018-01,6,4,908252.1,1014911.0,04,1
18-000651,2018-01,6,5,888107.3,1021677.0,04,1
18-000661,2018-01,6,4,898042.0,1021607.0,04,1
18-000926,2018-01,6,1,880515.9,995621.1,04,1
18-000582,2018-01,9,5,890735.0,1035001.0,04,1
18-000666,2018-01,5,1,891684.8,1003114.0,04,1
18-000596,2018-01,3,6,898189.9,1031059.0,04,1
18-002831,2018-01,6,3,897153.6,1001157.0,04,1
18-000642,2018-01,6,4,907582.9,1015102.0,04,1
18-002762,2018-01,6,3,895751.5,1007882.0,04,1
18-000621,2018-01,6,3,897136.5,1005347.0,04,1
18-000608,2018-01,6,4,898337.4,1024456.0,04,1
18-000645,2018-01,6,6,889784.9,1046631.0,04,2
18-000614,2018-01,7,3,893520.9,1004111.0,04,2
18-001379,2018-01,6,6,884762.3,1040518.0,04,2
18-001053,2018-01,6,2,893215.4,1005235.0,04,2
18-000612,2018-01,6,5,894263.8,1022804.0,04,2
18-000624,2018-01,3,5,893493.7,1027553.0,04,2
18-000636,2018-01,4,6,891750.1,1041430.0,04,2
18-001117,2018-01,7,1,894973.6,997078.6,04,2
18-002367,2018-01,6,5,895465.4,1026650.0,04,2
18-000679,2018-01,5,4,904374.2,1024178.0,04,2
18-003105,2018-01,5,5,886216.4,1035289.0,04,2
18-002787,2018-01,5,1,880273.8,993679.8,04,2
18-000667,2018-01,6,4,903731.7,1018016.0,04,2
18-000652,2018-01,6,4,906058.9,1025726.0,04,2
18-000662,2018-01,6,2,890321.9,1014597.0,04,2
18-001525,2018-01,7,5,878128.9,1026388.0,04,2
18-000658,2018-01,4,4,907992.6,1017744.0,04,2
18-000763,2018-01,6,1,891457.4,996657.8,04,2
18-000676,2018-01,6,2,877552.6,1014503.0,04,2
18-000708,2018-01,9,3,896036.8,1003720.0,04,2
18-000729,2018-01,6,1,891542.3,997153.8,04,2
18-000675,2018-01,9,3,897369.2,1001753.0,04,3
18-000672,2018-01,6,3,899094.8,1004826.0,04,3
18-000678,2018-01,4,5,889537.3,1021388.0,04,3
18-000719,2018-01,6,1,891766.5,997478.5,04,3
18-000682,2018-01,4,6,891175.6,1047253.0,04,3
18-000681,2018-01,9,6,898623.9,1030956.0,04,3
18-000684,2018-01,4,6,896789.1,1051371.0,04,3
18-000685,2018-01,7,3,897098.5,1004091.0,04,3
18-000683,2018-01,4,6,888117.0,1043985.0,04,3
18-000731,2018-01,6,1,890331.3,991270.9,04,3
18-000692,2018-01,6,1,892007.2,1000708.0,04,3
18-000697,2018-01,5,4,905456.6,1027515.0,04,3
18-000717,2018-01,6,5,883771.6,1026800.0,04,3
18-000701,2018-01,6,5,894086.1,1022162.0,04,3
18-000695,2018-01,7,5,884619.6,1039443.0,04,3
18-001014,2018-01,6,5,883320.2,1026696.0,04,3
18-000699,2018-01,7,6,894537.6,1051914.0,04,3
18-000698,2018-01,9,5,889537.3,1021388.0,04,3
18-004372,2018-01,7,3,895376.1,1002545.0,05,3
18-000853,2018-01,6,4,905928.8,1026064.0,05,3
18-000704,2018-01,4,6,889790.3,1047581.0,05,3
18-000705,2018-01,7,1,881967.5,1002969.0,05,3
18-000724,2018-01,6,2,887869.8,1004786.0,05,3
18-000765,2018-01,6,5,883336.3,1029184.0,05,3
18-001914,2018-01,5,6,887417.2,1044297.0,05,3
18-000751,2018-01,6,3,897890.5,1001421.0,05,3
18-000712,2018-01,7,1,885417.6,1002290.0,05,1
18-000801,2018-01,7,2,876886.6,1023583.0,05,1
18-000808,2018-01,5,5,892665.3,1025435.0,05,1
18-001169,2018-01,6,6,896494.3,1030022.0,05,1
18-001360,2018-01,6,1,894385.9,994487.2,05,1
18-000815,2018-01,5,3,893964.8,1001805.0,05,1
18-000767,2018-01,9,6,900645.1,1033336.0,05,1
18-000749,2018-01,6,2,881531.3,1023198.0,05,1
18-000804,2018-01,6,2,876559.9,1022496.0,05,1
18-000762,2018-01,4,3,895638.7,1001542.0,05,1
18-000730,2018-01,7,5,883156.4,1030897.0,05,1
18-000745,2018-01,4,1,894358.6,997397.4,05,1
18-001008,2018-01,6,1,891946.4,994324.3,05,1
18-000842,2018-01,5,1,894853.9,995600.4,05,1
18-000852,2018-01,5,4,906256.9,1022439.0,05,1
18-001188,2018-01,5,3,895570.1,1001648.0,05,1
18-000757,2018-01,6,1,889468.0,994413.8,05,1
18-000750,2018-01,6,6,900558.8,1038456.0,05,1
18-000746,2018-01,6,5,888784.6,1030280.0,05,1
18-000756,2018-01,4,4,907721.7,1026586.0,05,1
18-000758,2018-01,9,5,882362.3,1029357.0,05,1
18-000769,2018-01,9,1,882930.1,1002570.0,05,2
18-001157,2018-01,5,3,895888.3,1003990.0,05,2
18-000766,2018-01,9,6,891887.7,1043099.0,05,2
18-002369,2018-01,6,2,889533.2,1003900.0,05,2
18-000780,2018-01,6,5,881473.6,1024738.0,05,2
18-000907,2018-01,6,5,885424.8,1036831.0,05,2
18-000797,2018-01,5,2,877710.8,998192.9,05,2
18-000796,2018-01,6,4,910708.3,1018398.0,05,2
18-000787,2018-01,4,2,881198.0,1018837.0,05,2
18-000789,2018-01,9,6,893464.3,1035994.0,05,2
18-000813,2018-01,6,1,889918.6,995051.2,05,2
18-000909,2018-01,6,5,886183.4,1027116.0,05,2
18-001032,2018-01,7,2,890047.3,1004174.0,05,2
18-001145,2018-01,5,5,884235.3,1031366.0,05,2
18-001527,2018-01,6,4,903461.9,1027231.0,05,2
18-001147,2018-01,6,3,902745.9,1014711.0,05,2
18-000802,2018-01,4,5,884107.9,1035372.0,05,2
18-000976,2018-01,4,3,904719.3,1014572.0,05,2
18-000828,2018-01,7,6,898982.4,1034242.0,05,2
18-000875,2018-01,5,2,891815.2,1013372.0,05,2
18-001129,2018-01,6,4,909605.1,1014336.0,05,2
18-001373,2018-01,5,1,891333.2,998388.1,05,2
18-000809,2018-01,6,5,886025.2,1028799.0,05,2
18-001583,2018-01,6,5,884828.9,1038087.0,05,2
18-000879,2018-01,5,3,894513.1,1002512.0,05,2
18-000885,2018-01,6,2,890749.3,1003870.0,05,2
18-000814,2018-01,4,1,878976.8,994164.6,05,2
18-000818,2018-01,9,4,908746.4,1020296.0,05,2
18-001299,2018-01,6,6,888629.9,1046143.0,05,2
18-004856,2018-01,7,1,886630.6,1003090.0,05,2
18-002427,2018-01,6,3,894582.3,1009045.0,05,3
18-000825,2018-01,9,3,897405.4,1004786.0,05,3
18-000827,2018-01,5,4,901772.4,1021451.0,05,3
18-000849,2018-01,6,5,877688.6,1026633.0,05,3
18-000826,2018-01,7,4,905815.6,1024192.0,05,3
18-000829,2018-01,6,1,887754.9,1001718.0,05,3
18-000830,2018-01,6,5,887750.6,1026917.0,05,3
18-000835,2018-01,4,6,886962.4,1042893.0,05,3
18-000832,2018-01,6,2,890761.6,1017357.0,05,3
18-000837,2018-01,7,2,881979.7,1016444.0,05,3
18-000847,2018-01,1,3,895156.4,1003278.0,05,3
18-000838,2018-01,4,4,909422.4,1021549.0,05,3
18-000840,2018-01,4,1,885829.4,1001718.0,05,3
18-000865,2018-01,9,4,905278.8,1022642.0,05,3
18-000975,2018-01,6,5,889826.8,1023940.0,05,3
18-000973,2018-01,6,3,905340.4,1010852.0,05,3
18-000848,2018-01,9,4,905172.7,1016526.0,05,3
18-001007,2018-01,6,5,881776.6,1027034.0,05,3
18-000862,2018-01,4,1,886337.5,1000306.0,06,3
18-000871,2018-01,3,2,891385.4,1016966.0,06,3
18-000870,2018-01,7,6,904878.5,1034267.0,06,3
18-000873,2018-01,5,2,880648.3,1011024.0,06,3
18-000872,2018-01,7,4,906666.7,1015976.0,06,3
18-000874,2018-01,5,1,884814.3,1003686.0,06,3
18-000908,2018-01,6,2,876886.6,1023583.0,06,1
18-001056,2018-01,6,4,909628.9,1017092.0,06,1
18-004145,2018-01,6,3,898491.7,1006445.0,06,1
18-000878,2018-01,7,4,904285.3,1028908.0,06,1
18-000880,2018-01,6,4,898337.4,1024456.0,06,1
18-000884,2018-01,6,4,910043.9,1021123.0,06,1
18-000918,2018-01,6,4,906469.1,1020109.0,06,1
18-000901,2018-01,6,2,876982.8,1024125.0,06,1
18-000883,2018-01,5,5,887227.7,1027660.0,06,1
18-000886,2018-01,9,4,900510.3,1017215.0,06,1
18-000979,2018-01,6,4,909542.8,1018469.0,06,1
18-000896,2018-01,6,6,891316.0,1035410.0,06,1
18-000906,2018-01,4,5,884222.1,1031634.0,06,1
18-000933,2018-01,6,6,899461.2,1045874.0,06,2
18-000940,2018-01,6,4,905088.9,1020194.0,06,2
18-001034,2018-01,6,4,900917.1,1029020.0,06,2
18-000916,2018-01,6,5,890881.1,1032835.0,06,2
18-000917,2018-01,6,4,910708.3,1018398.0,06,2
18-000955,2018-01,4,2,884201.4,1011055.0,06,2
18-000922,2018-01,6,4,909089.5,1019027.0,06,2
18-000951,2018-01,6,4,908420.1,1015664.0,06,2
18-000911,2018-01,6,1,889468.0,994413.8,06,2
18-000915,2018-01,6,5,894199.0,1021580.0,06,2
18-000913,2018-01,7,5,888991.9,1022005.0,06,2
18-001134,2018-01,6,4,908422.1,1017299.0,06,2
18-001212,2018-01,5,5,892790.0,1029823.0,06,2
18-000925,2018-01,6,4,902122.6,1020974.0,06,2
18-000934,2018-01,6,3,893507.8,1004763.0,06,2
18-000921,2018-01,6,5,892104.8,1022153.0,06,2
18-000928,2018-01,6,2,879649.6,1008791.0,06,2
18-000930,2018-01,6,1,884082.3,1001677.0,06,2
18-001050,2018-01,6,1,890701.1,995885.1,06,2
18-000959,2018-01,6,2,876086.0,1014031.0,06,2
18-000966,2018-01,7,3,905973.6,1011338.0,06,2
18-000944,2018-01,7,1,888237.0,1001261.0,06,2
18-002036,2018-01,5,3,894907.8,1005937.0,06,2
18-001016,2018-01,6,6,891871.2,1034171.0,06,2
18-001293,2018-01,7,5,881001.8,1032626.0,06,2
18-001421,2018-01,6,2,887770.3,1004329.0,06,2
18-001161,2018-01,6,2,882142.8,1016343.0,06,2
18-001017,2018-01,6,5,882836.1,1026756.0,06,2
18-000980,2018-01,6,4,896530.1,1021053.0,06,2
18-000961,2018-01,6,5,894199.0,1021580.0,06,3
18-000958,2018-01,6,5,885132.9,1029391.0,06,3
18-000963,2018-01,3,5,888311.9,1025245.0,06,3
18-000965,2018-01,6,2,889643.0,1017196.0,06,3
18-001054,2018-01,7,2,890342.1,1003879.0,06,3
18-001041,2018-01,6,4,902363.3,1018827.0,06,3
18-000972,2018-01,7,6,895288.6,1048986.0,06,3
18-000964,2018-01,6,3,899991.0,1012915.0,06,3
18-000967,2018-01,3,1,890451.0,995831.9,06,3
18-001042,2018-01,6,1,892977.8,996056.9,06,3
18-001002,2018-01,6,5,880270.2,1029970.0,06,3
18-001044,2018-01,6,2,891497.1,1005935.0,06,3
18-001511,2018-01,6,5,891129.1,1028936.0,06,3
18-000983,2018-01,3,3,899087.6,1005961.0,06,3
18-001619,2018-01,5,3,897428.1,1001929.0,06,3
18-001081,2018-01,6,2,880485.4,1009659.0,06,3
18-002296,2018-01,6,2,880766.6,1008292.0,07,3
18-001657,2018-01,5,5,885810.0,1026764.0,07,3
18-001066,2018-01,7,4,906803.0,1016334.0,07,3
18-000988,2018-01,9,4,898673.6,1022154.0,07,3
18-000989,2018-01,9,3,904476.4,1013699.0,07,3
18-000992,2018-01,4,3,893146.3,1002098.0,07,3
18-000994,2018-01,9,4,905963.8,1019364.0,07,3
18-001046,2018-01,9,4,904418.8,1025992.0,07,3
18-001060,2018-01,6,5,877552.6,1027681.0,07,3
18-001025,2018-01,6,1,892920.3,995969.0,07,3
18-001015,2018-01,6,4,902363.3,1018827.0,07,3
18-001000,2018-01,4,4,898530.9,1023733.0,07,3
18-001001,2018-01,6,1,892852.6,994174.5,07,3
18-001011,2018-01,6,4,904587.7,1017114.0,07,1
18-001436,2018-01,6,1,889921.9,997352.5,07,1
18-001021,2018-01,4,3,900691.8,1002387.0,07,1
18-001086,2018-01,5,1,886380.6,1001708.0,07,1
18-001038,2018-01,6,4,908702.8,1018251.0,07,1
18-001151,2018-01,6,2,881433.6,1005215.0,07,1
18-001045,2018-01,6,4,908702.8,1018251.0,07,1
18-001040,2018-01,6,4,910708.3,1018398.0,07,1
18-001030,2018-01,9,4,896742.0,1025805.0,07,1
18-001703,2018-01,6,2,873607.7,1003446.0,07,1
18-001058,2018-01,6,3,900507.7,1015458.0,07,1
18-001642,2018-01,5,6,890628.1,1040866.0,07,2
18-001033,2018-01,6,1,890029.8,990696.4,07,2
18-001039,2018-01,9,3,894170.9,1005801.0,07,2
18-001083,2018-01,6,5,887982.1,1023258.0,07,2
18-001047,2018-01,6,4,898337.4,1024456.0,07,2
18-001197,2018-01,5,2,877453.4,1004604.0,07,2
18-001676,2018-01,6,5,890823.4,1023614.0,07,2
18-001051,2018-01,6,4,898337.4,1024456.0,07,2
18-001191,2018-01,7,1,886952.6,1001330.0,07,2
18-001063,2018-01,6,4,907416.8,1019101.0,07,2
18-001068,2018-01,9,1,881885.9,995790.6,07,2
18-001118,2018-01,6,5,881661.2,1026094.0,07,2
18-001206,2018-01,6,6,894638.1,1039088.0,07,2
18-001088,2018-01,5,6,896704.1,1049972.0,07,2
18-001625,2018-01,6,2,884725.6,1004574.0,07,2
18-002658,2018-01,4,6,899461.2,1045874.0,07,2
18-001115,2018-01,6,5,887798.6,1019870.0,07,2
18-001072,2018-01,6,3,903270.1,1012207.0,07,2
18-001122,2018-01,7,2,888955.3,1017008.0,07,2
18-001097,2018-01,7,3,893319.2,1001215.0,07,2
18-001070,2018-01,9,4,894304.4,1020343.0,07,3
18-001074,2018-01,4,3,894168.6,1001425.0,07,3
18-001355,2018-01,6,6,896438.1,1048204.0,07,3
18-001106,2018-01,6,4,908252.1,1014911.0,07,3
18-001164,2018-01,3,5,881642.6,1024780.0,07,3
18-001629,2018-01,6,4,904022.6,1027132.0,07,3
18-001251,2018-01,6,1,893627.8,997469.4,07,3
18-001077,2018-01,6,2,890569.1,1008723.0,07,3
18-001090,2018-01,7,6,897613.6,1031635.0,07,3
18-001137,2018-01,6,2,884510.8,1005596.0,07,3
18-001140,2018-01,7,3,899413.3,1001833.0,07,3
18-001599,2018-01,3,4,897507.9,1022844.0,07,3
18-001203,2018-01,6,1,884890.1,999741.8,07,3
18-001125,2018-01,6,2,877432.4,1007991.0,07,3
18-001085,2018-01,6,1,891589.9,993742.3,07,3
18-001133,2018-01,7,2,881024.9,1004961.0,07,3
18-001148,2018-01,6,3,904296.4,1009692.0,07,3
18-001096,2018-01,6,3,904119.3,1010819.0,07,3
18-001158,2018-01,6,2,888873.8,1016856.0,07,3
18-001105,2018-01,3,4,898772.8,1023762.0,07,3
18-001328,2018-01,6,4,899468.1,1020423.0,08,1
18-001404,2018-01,6,1,878876.9,995478.9,08,1
18-001343,2018-01,7,5,881642.6,1024780.0,08,1
18-001180,2018-01,6,5,878151.1,1028301.0,08,1
18-001258,2018-01,6,4,898533.6,1022716.0,08,1
18-001139,2018-01,6,1,890701.1,995885.1,08,1
18-001702,2018-01,6,1,893514.0,999128.8,08,1
18-001997,2018-01,6,2,879649.6,1008791.0,08,1
18-003794,2018-01,6,2,879702.8,1016506.0,08,1
18-001165,2018-01,6,5,884756.4,1023956.0,08,1
18-001219,2018-01,6,6,889710.4,1042760.0,08,1
